user_id,number,frequency,est_i,estimation
85821121,two,2,1,37
85821121,four,4,1,67
85821121,three,6,1,56
85821121,one,1,1,66
85821121,five,3,1,27
85821121,six,5,1,60
59824490,four,6,1,20
59824490,one,2,1,75
59824490,five,5,1,40
59824490,three,1,1,80
59824490,two,3,1,30
59824490,six,4,1,65
55683920,one,4,1,50
55683920,four,5,1,80
55683920,six,1,1,75
55683920,five,6,1,45
55683920,three,3,1,35
55683920,two,2,1,50
83445386,four,2,1,45
83445386,three,3,1,35
83445386,six,6,1,25
83445386,five,4,1,40
83445386,two,1,1,70
83445386,one,5,1,45
19136702,three,6,1,30
19136702,two,3,1,40
19136702,six,2,1,50
19136702,one,5,1,50
19136702,five,1,1,70
19136702,four,4,1,60
15352014,three,4,1,60
15352014,four,6,1,40
15352014,two,5,1,65
15352014,five,2,1,55
15352014,one,1,1,95
15352014,six,3,1,25
97757635,three,4,1,40
97757635,six,2,1,55
97757635,four,3,1,30
97757635,two,5,1,45
97757635,one,1,1,75
97757635,five,6,1,40
67133772,five,5,1,69
67133772,two,6,1,51
67133772,four,4,1,80
67133772,six,2,1,69
67133772,three,1,1,90
67133772,one,3,1,50
71572904,six,5,1,72
71572904,one,2,1,39
71572904,three,6,1,40
71572904,two,4,1,60
71572904,four,1,1,70
71572904,five,3,1,45
49136733,five,4,1,70
49136733,one,6,1,60
49136733,four,2,1,60
49136733,three,1,1,95
49136733,two,5,1,70
49136733,six,3,1,50
59450456,one,4,1,20
59450456,three,6,1,50
59450456,two,1,1,70
59450456,four,2,1,60
59450456,five,5,1,60
59450456,six,3,1,50
00204654,one,2,1,25
00204654,four,5,1,35
00204654,five,6,1,25
00204654,two,1,1,90
00204654,six,3,1,25
00204654,three,4,1,35
29123682,two,4,1,18
29123682,five,5,1,20
29123682,four,2,1,60
29123682,one,1,1,88
29123682,three,6,1,5
29123682,six,3,1,5
92780072,three,4,1,67
92780072,two,1,1,92
92780072,six,5,1,86
92780072,one,6,1,28
92780072,four,2,1,54
92780072,five,3,1,6
82741456,four,6,1,70
82741456,six,4,1,80
82741456,two,5,1,61
82741456,five,3,1,50
82741456,one,2,1,47
82741456,three,1,1,80
49139541,two,2,1,80
49139541,three,4,1,80
49139541,four,6,1,80
49139541,one,1,1,50
49139541,six,3,1,50
49139541,five,5,1,50
35018789,four,4,1,80
35018789,three,6,1,64
35018789,five,3,1,30
35018789,one,5,1,7
35018789,two,2,1,48
35018789,six,1,1,88
62882995,three,4,1,32
62882995,five,1,1,90
62882995,four,2,1,95
62882995,six,6,1,17
62882995,one,5,1,82
62882995,two,3,1,11
55212568,six,1,1,80
55212568,three,4,1,80
55212568,one,5,1,70
55212568,two,6,1,60
55212568,five,2,1,65
55212568,four,3,1,60
19266501,four,3,1,60
19266501,six,4,1,70
19266501,five,1,1,82
19266501,two,5,1,85
19266501,one,6,1,65
19266501,three,2,1,55
17617269,four,3,1,25
17617269,two,1,1,65
17617269,six,4,1,60
17617269,one,6,1,55
17617269,three,2,1,75
17617269,five,5,1,65
